"Taxa","Prevalence","Taxonomic level","Null_model","ANN_rand1.dev.fit","ANN_rand2.dev.fit","ANN_rand3.dev.fit","ANN_rand4.dev.fit","ANN_rand5.dev.fit","expl.pow_ANN_rand1.dev.fit","expl.pow_ANN_rand2.dev.fit","expl.pow_ANN_rand3.dev.fit","expl.pow_ANN_rand4.dev.fit","expl.pow_ANN_rand5.dev.fit","ANN_rand1.dev.pred","ANN_rand2.dev.pred","ANN_rand3.dev.pred","ANN_rand4.dev.pred","ANN_rand5.dev.pred","expl.pow_ANN_rand1.dev.pred","expl.pow_ANN_rand2.dev.pred","expl.pow_ANN_rand3.dev.pred","expl.pow_ANN_rand4.dev.pred","expl.pow_ANN_rand5.dev.pred","ANN_rand1.auc.fit","ANN_rand2.auc.fit","ANN_rand3.auc.fit","ANN_rand4.auc.fit","ANN_rand5.auc.fit","Null_model.auc","ANN_rand1.auc.pred","ANN_rand2.auc.pred","ANN_rand3.auc.pred","ANN_rand4.auc.pred","ANN_rand5.auc.pred","ANN_rand1.likelihood.ratio","ANN_rand2.likelihood.ratio","ANN_rand3.likelihood.ratio","ANN_rand4.likelihood.ratio","ANN_rand5.likelihood.ratio","ANN_rand1.auc.ratio","ANN_rand2.auc.ratio","ANN_rand3.auc.ratio","ANN_rand4.auc.ratio","ANN_rand5.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff"
"Ephemerellidae",0.2,"family",1,0.84,0.83,0.83,0.85,0.84,0.15,0.16,0.16,0.15,0.16,0.85,0.86,0.85,0.88,0.86,0.15,0.13,0.15,0.12,0.14,0.76,0.77,0.77,0.76,0.77,0.5,0.76,0.75,0.76,0.73,0.76,1,0.98,0.99,0.98,0.99,0.99,0.98,0.98,0.97,0.99,"ANN_rand3.dev-ANN_rand4.dev",0.03
"Asellidae",0.19,"family",0.97,0.75,0.73,0.73,0.74,0.74,0.23,0.25,0.25,0.24,0.24,0.76,0.75,0.76,0.75,0.76,0.21,0.22,0.22,0.23,0.22,0.83,0.83,0.83,0.83,0.83,0.5,0.82,0.83,0.82,0.83,0.82,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,"ANN_rand4.dev-ANN_rand1.dev",0.01
"Ephemeridae",0.18,"family",0.94,0.8,0.81,0.81,0.8,0.8,0.15,0.14,0.14,0.15,0.14,0.81,0.81,0.83,0.81,0.82,0.14,0.13,0.12,0.14,0.13,0.76,0.74,0.75,0.75,0.75,0.5,0.75,0.74,0.74,0.74,0.74,0.99,1,0.99,1,0.99,0.99,1,0.98,0.99,0.98,"ANN_rand4.dev-ANN_rand3.dev",0.02
"Chloroperlidae",0.18,"family",0.95,0.75,0.75,0.75,0.76,0.75,0.22,0.22,0.22,0.21,0.22,0.77,0.78,0.75,0.77,0.77,0.2,0.18,0.21,0.19,0.2,0.82,0.81,0.82,0.81,0.81,0.5,0.81,0.8,0.81,0.79,0.8,0.99,0.98,1,0.99,0.99,0.99,0.98,0.99,0.99,0.99,"ANN_rand3.dev-ANN_rand2.dev",0.03
"Dytiscidae",0.16,"family",0.89,0.86,0.86,0.86,0.86,0.86,0.04,0.04,0.04,0.04,0.04,0.87,0.87,0.87,0.87,0.86,0.03,0.02,0.02,0.03,0.03,0.64,0.65,0.65,0.65,0.65,0.5,0.64,0.63,0.64,0.64,0.65,1,0.99,0.99,1,1,0.99,0.97,0.98,0.99,0.99,"ANN_rand5.dev-ANN_rand3.dev",0.01
"Stratiomyidae",0.17,"family",0.92,0.88,0.87,0.87,0.88,0.87,0.04,0.05,0.05,0.04,0.05,0.9,0.88,0.89,0.89,0.89,0.02,0.04,0.03,0.03,0.03,0.62,0.66,0.65,0.64,0.66,0.5,0.62,0.65,0.64,0.64,0.64,0.99,0.99,0.99,1,0.99,0.99,0.99,0.98,0.99,0.97,"ANN_rand2.dev-ANN_rand1.dev",0.02
"Hydroptilidae",0.16,"family",0.87,0.74,0.75,0.74,0.75,0.75,0.15,0.14,0.15,0.14,0.14,0.76,0.76,0.75,0.76,0.76,0.13,0.13,0.13,0.13,0.13,0.77,0.77,0.77,0.76,0.76,0.5,0.76,0.75,0.76,0.75,0.76,0.99,0.99,0.99,0.99,1,0.99,0.98,0.98,0.99,1,"ANN_rand3.dev-ANN_rand2.dev",0
"Hydrobiidae",0.14,"family",0.8,0.62,0.63,0.63,0.63,0.62,0.22,0.22,0.21,0.21,0.23,0.63,0.63,0.64,0.64,0.63,0.21,0.21,0.2,0.2,0.22,0.82,0.82,0.82,0.83,0.83,0.5,0.82,0.82,0.82,0.82,0.82,1,1,1,0.99,1,0.99,1,1,0.99,1,"ANN_rand5.dev-ANN_rand4.dev",0.02
"Perlidae",0.14,"family",0.82,0.63,0.63,0.62,0.63,0.62,0.23,0.23,0.24,0.23,0.24,0.64,0.64,0.63,0.65,0.63,0.22,0.22,0.23,0.21,0.23,0.84,0.83,0.84,0.83,0.84,0.5,0.83,0.83,0.83,0.82,0.83,1,1,1,0.99,0.99,0.99,0.99,0.99,0.98,0.99,"ANN_rand5.dev-ANN_rand4.dev",0.02
"Planorbidae",0.13,"family",0.78,0.64,0.64,0.64,0.64,0.64,0.18,0.18,0.18,0.18,0.17,0.65,0.67,0.65,0.65,0.66,0.16,0.15,0.16,0.16,0.16,0.79,0.79,0.8,0.79,0.8,0.5,0.79,0.77,0.79,0.79,0.78,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,"ANN_rand4.dev-ANN_rand2.dev",0.02
"Glossosomatidae",0.12,"family",0.71,0.64,0.64,0.63,0.63,0.64,0.1,0.1,0.11,0.11,0.11,0.65,0.65,0.65,0.65,0.65,0.09,0.09,0.09,0.09,0.09,0.74,0.74,0.74,0.74,0.74,0.5,0.73,0.72,0.73,0.73,0.73,1,1,0.99,0.99,1,0.99,0.98,0.98,0.98,0.99,"ANN_rand5.dev-ANN_rand4.dev",0.01
